BK-20260609-0001,0,2026-06-09 10:24:58,360000,0,360000,3,3,CIN-T8F6S4,360000
BK-20260609-0003,0,2026-06-09 10:31:37,360000,0,360000,3,3,CIN-FWXAEA,360000
BK-20260609-0005,0,2026-06-09 10:32:13,360000,0,360000,3,3,CIN-GNL5M7,360000
BK-20260609-0007,0,2026-06-09 10:38:50,80000,0,80000,3,3,CIN-TEM8VX,80000
BK-20260609-0009,0,2026-06-09 17:40:31,80000,0,80000,3,3,CIN-2KJJB4,80000
BK-20260609-0011,0,2026-06-09 17:59:56,225000,87000,138000,3,3,CIN-JAXQYQ,138000
BK-20260609-0013,0,2026-06-09 20:35:29,360000,0,360000,3,1,CIN-5E76ZZ,0
BK-20260611-0015,205,2026-06-11 17:20:13,225000,0,225000,3,3,CIN-XLRZRX,225000
BK-20260611-0017,205,2026-06-11 17:45:07,80000,0,80000,0,3,CIN-WXXY7J,80000
BK-20260611-0019,205,2026-06-11 18:00:06,270000,0,270000,2,3,CIN-LPLSNP,270000
BK-20260611-0021,205,2026-06-11 18:42:06,180000,0,180000,0,3,CIN-N7SYBA,180000
BK-20260611-0023,205,2026-06-11 18:42:35,270000,0,270000,0,3,CIN-3V9MCX,270000
BK-20260611-0025,205,2026-06-11 18:43:02,150000,0,150000,1,3,CIN-N79ZPJ,150000
BK-20260612-0027,205,2026-06-12 08:25:33,150000,0,150000,2,3,CIN-LWAMC5,150000
BK-20260612-0029,205,2026-06-12 08:26:33,150000,0,150000,0,1,CIN-ESHEYZ,0
BK-20260612-0031,205,2026-06-12 08:30:16,100000,0,100000,1,1,CIN-WLEL2G,0
BK-20260612-0033,205,2026-06-12 09:38:33,150000,0,150000,1,3,CIN-WGYWJK,150000
BK-20260612-0035,205,2026-06-12 09:39:06,150000,0,150000,2,3,CIN-6634SE,150000
BK-20260612-0037,205,2026-06-12 09:51:33,250000,0,250000,2,3,CIN-ET692L,250000
BK-20260612-0039,205,2026-06-12 09:52:03,180000,0,180000,2,3,CIN-RWBAGX,180000
BK-20260612-0041,205,2026-06-12 09:52:16,160000,0,160000,2,3,CIN-4WXN6W,160000
BK-20260612-0043,205,2026-06-12 10:01:49,150000,0,150000,1,3,CIN-DGQFBR,150000
BK-20260612-0045,205,2026-06-12 10:12:43,150000,0,150000,1,3,CIN-MKGSKT,150000
BK-20260612-0047,205,2026-06-12 10:13:16,120000,0,120000,1,3,CIN-8RGH9L,120000
BK-20260612-0049,205,2026-06-12 10:53:50,150000,0,150000,1,3,CIN-3M2DJT,150000
BK-20260612-0051,205,2026-06-12 10:54:23,80000,0,80000,2,3,CIN-ZR6538,80000
BK-20260612-0053,205,2026-06-12 10:55:08,150000,0,150000,1,3,CIN-H53UHN,150000
BK-20260613-0055,205,2026-06-13 16:15:46,150000,0,150000,0,3,CIN-KQ5BFM,150000
BK-20260613-0057,205,2026-06-13 17:19:55,150000,0,150000,0,3,CIN-VQXE9B,150000
BK-20260613-0059,205,2026-06-13 17:28:34,150000,0,150000,0,3,CIN-V2KNB9,150000
BK-20260613-0061,205,2026-06-13 17:29:26,100000,0,100000,0,3,CIN-N2WENL,100000
BK-20260613-0063,205,2026-06-13 17:34:26,150000,0,150000,0,3,CIN-LYQBEY,150000
BK-20260613-0065,205,2026-06-13 17:37:18,225000,0,225000,0,3,CIN-Z86SMJ,225000
BK-20260613-0067,205,2026-06-13 17:43:03,180000,0,180000,0,3,CIN-WQXLEK,180000
BK-20260619-0069,101,2026-06-19 14:35:26,240000,0,240000,2,3,CIN-UNJQKD,240000
BK-20260619-0071,101,2026-06-19 18:11:36,240000,0,240000,0,3,CIN-BZEDAX,240000
BK-20260619-0073,101,2026-06-19 18:13:33,240000,0,240000,0,1,CIN-M4HYQK,0
BK-20260619-0075,101,2026-06-19 18:38:08,300000,0,300000,1,1,CIN-259KFX,0
BK-20260619-0077,101,2026-06-19 19:01:54,240000,0,240000,0,1,CIN-BLSFUW,0
BK-20260619-0079,101,2026-06-19 19:19:20,160000,0,160000,1,1,CIN-VWB6RE,0
BK-20260620-0081,101,2026-06-20 00:27:53,480000,50000,430000,0,1,CIN-BSVZNC,0
BK-20260620-0083,101,2026-06-20 10:29:16,120000,0,120000,1,1,CIN-6CJP7Q,0
BK-20260620-0085,101,2026-06-20 10:32:37,120000,0,120000,1,3,CIN-7YFTES,120000
BK-20260620-0087,101,2026-06-20 10:42:20,160000,0,160000,1,1,CIN-A96FQ3,0
BK-20260622-0089,101,2026-06-22 20:40:03,240000,0,240000,1,1,CIN-RDAXRG,0
BK-20260622-0091,205,2026-06-22 21:14:45,229000,0,229000,0,1,CIN-Z2SXT6,0
BK-20260622-0093,205,2026-06-22 21:15:52,536000,0,536000,0,1,CIN-3XWHS7,0
BK-20260622-0095,205,2026-06-22 21:33:01,229000,0,229000,0,1,CIN-P8R3PK,0
BK-20260622-0097,205,2026-06-22 21:41:17,1.254e+06,0,1.254e+06,0,1,CIN-JZMEBX,0
BK-20260623-0099,205,2026-06-23 17:40:49,199000,0,199000,0,1,CIN-5KHXUP,0
BK-20260623-0101,205,2026-06-23 17:52:24,378000,0,378000,0,1,CIN-NN9DFY,0
BK-20260624-0103,101,2026-06-24 21:13:56,199000,0,199000,2,1,CIN-45F62A,0
BK-20260625-0105,101,2026-06-25 08:22:49,120000,0,120000,0,1,CIN-6BYDJQ,0
BK-20260625-0107,101,2026-06-25 08:36:37,120000,0,120000,0,1,CIN-DVP7WU,0
BK-20260625-0109,101,2026-06-25 08:46:57,120000,0,120000,0,1,CIN-YZUVHN,0
BK-20260625-0111,101,2026-06-25 08:47:41,150000,0,150000,0,1,CIN-PFQWNZ,0
BK-20260625-0113,101,2026-06-25 08:51:11,120000,0,120000,0,1,CIN-H8PQ4N,0
