ST-20260624-00001,MV7289,P01,2026-06-24 09:00,2026-06-24 10:55,2026-06-24,80000,1,0,Phụ đề Việt,
ST-20260624-00002,MV001,P01,2026-06-24 00:00,2026-06-24 03:15,2026-06-24,80000,1,0,Phụ đề Việt,
ST-20260624-00003,MV7289,P04,2026-06-24 09:00,2026-06-24 10:55,2026-06-24,120000,1,0,Phụ đề Việt,
ST-20260624-00004,MV004,P02,2026-06-24 09:00,2026-06-24 10:50,2026-06-24,80000,1,0,Phụ đề Việt,
ST-20260626-00001,MV002,P01,2026-06-26 09:00,2026-06-26 11:15,2026-06-26,80000,1,0,Phụ đề Việt,
ST-20260625-00001,MV003,P01,2026-06-25 09:00,2026-06-25 11:00,2026-06-25,80000,1,0,Phụ đề Việt,
ST-20260624-00005,MV001,P01,2026-06-24 19:00,2026-06-24 22:15,2026-06-24,80000,1,0,Phụ đề Việt,
ST-20260624-00006,MV003,P01,2026-06-24 15:00,2026-06-24 17:00,2026-06-24,80000,1,0,Phụ đề Việt,
ST-20260624-00007,MV7289,P03,2026-06-24 09:00,2026-06-24 10:55,2026-06-24,80000,1,0,Phụ đề Việt,
ST-20260628-00001,MV001,P02,2026-06-28 11:00,2026-06-28 14:15,2026-06-28,80000,1,0,Phụ đề Việt,
ST-20260627-00001,MV001,P02,2026-06-27 07:00,2026-06-27 10:15,2026-06-27,100000,1,0,Phụ đề Việt,
ST-20260627-00002,MV7741,P02,2026-06-27 19:00,2026-06-27 21:15,2026-06-27,80000,1,0,Phụ đề Việt,
ST-20260625-00002,MV7741,P04,2026-06-25 17:00,2026-06-25 19:15,2026-06-25,80000,1,0,Phụ đề Việt,
ST-20260630-00001,MV4116,P04,2026-06-30 09:00,2026-06-30 11:15,2026-06-30,80000,1,0,Phụ đề Việt,
